"order_num","title","issue","phase","event","year","slug","url","total_pages","scrape_status","scraped_at","bookmark"
"719","Ms. Marvel: Mutant Menace","3","Fall of X","","2024","Ms-Marvel-Mutant-Menace","https://readcomiconline.li/Comic/Ms-Marvel-Mutant-Menace/Issue-3?quality=hq","35","done","2026-03-09T22:42:47.641390","0"
"720","Ms. Marvel: Mutant Menace","4","Fall of X","","2024","Ms-Marvel-Mutant-Menace","https://readcomiconline.li/Comic/Ms-Marvel-Mutant-Menace/Issue-4?quality=hq","27","done","2026-03-09T22:43:36.402145","0"
"721","Immortal X-Men","16","Fall of X","","2023","Immortal-X-Men","https://readcomiconline.li/Comic/Immortal-X-Men/Issue-16?quality=hq","26","done","2026-03-09T22:42:44.996316","0"
"722","X-Men (2021)","26","Fall of X","","2023","X-Men-2021","https://readcomiconline.li/Comic/X-Men-2021/Issue-26?quality=hq","26","done","2026-03-09T22:42:46.648315","0"
"723","X-Men (2021)","27","Fall of X","","2023","X-Men-2021","https://readcomiconline.li/Comic/X-Men-2021/Issue-27?quality=hq","25","done","2026-03-09T22:42:43.916399","0"
"724","X-Men (2021)","28","Fall of X","","2023","X-Men-2021","https://readcomiconline.li/Comic/X-Men-2021/Issue-28?quality=hq","25","done","2026-03-09T22:43:11.431641","0"
"725","X-Men (2021)","29","Fall of X","","2023","X-Men-2021","https://readcomiconline.li/Comic/X-Men-2021/Issue-29?quality=hq","26","done","2026-03-09T22:42:46.833199","0"
"726","X-Men Red (2022)","16","Fall of X","","2023","X-Men-Red-2022","https://readcomiconline.li/Comic/X-Men-Red-2022/Issue-16?quality=hq","26","done","2026-03-09T22:42:46.923435","0"
"727","X-Men Red (2022)","17","Fall of X","","2023","X-Men-Red-2022","https://readcomiconline.li/Comic/X-Men-Red-2022/Issue-17?quality=hq","25","done","2026-03-09T22:42:48.014110","0"
"728","X-Men Red (2022)","18","Fall of X","","2023","X-Men-Red-2022","https://readcomiconline.li/Comic/X-Men-Red-2022/Issue-18?quality=hq","21","done","2026-03-09T22:42:51.812905","0"
"729","Jean Grey","1","Fall of X","","2023","Jean-Grey-2023","https://readcomiconline.li/Comic/Jean-Grey-2023/Issue-1?quality=hq","27","done","2026-03-09T22:43:11.216457","0"
"730","Jean Grey","2","Fall of X","","2023","Jean-Grey-2023","https://readcomiconline.li/Comic/Jean-Grey-2023/Issue-2?quality=hq","24","done","2026-03-09T22:43:10.998209","0"
"731","Jean Grey","3","Fall of X","","2023","Jean-Grey-2023","https://readcomiconline.li/Comic/Jean-Grey-2023/Issue-3?quality=hq","24","done","2026-03-09T22:43:27.015246","0"
"732","Jean Grey","4","Fall of X","","2023","Jean-Grey-2023","https://readcomiconline.li/Comic/Jean-Grey-2023/Issue-4?quality=hq","26","done","2026-03-09T22:43:36.758929","0"
"733","Dark X-Men","4","Fall of X","","2023","Dark-X-Men-2023","https://readcomiconline.li/Comic/Dark-X-Men-2023/Issue-4?quality=hq","26","done","2026-03-09T22:43:32.859170","0"
"734","Dark X-Men","5","Fall of X","","2023","Dark-X-Men-2023","https://readcomiconline.li/Comic/Dark-X-Men-2023/Issue-5?quality=hq","26","done","2026-03-09T22:43:37.929580","0"
"735","Uncanny Spider-Man","1","Fall of X","","2023","Uncanny-Spider-Man","https://readcomiconline.li/Comic/Uncanny-Spider-Man/Issue-1?quality=hq","25","done","2026-03-09T22:43:36.449176","0"
"736","Uncanny Spider-Man","2","Fall of X","","2023","Uncanny-Spider-Man","https://readcomiconline.li/Comic/Uncanny-Spider-Man/Issue-2?quality=hq","24","done","2026-03-09T22:43:37.198214","0"
"737","Uncanny Spider-Man","3","Fall of X","","2024","Uncanny-Spider-Man","https://readcomiconline.li/Comic/Uncanny-Spider-Man/Issue-3?quality=hq","25","done","2026-03-09T22:43:37.391343","0"
"738","Uncanny Spider-Man","4","Fall of X","","2024","Uncanny-Spider-Man","https://readcomiconline.li/Comic/Uncanny-Spider-Man/Issue-4?quality=hq","24","done","2026-03-09T22:44:10.677811","0"
"739","X-Men Blue: Origins","1","Fall of X","","2024","X-Men-Blue-Origins","https://readcomiconline.li/Comic/X-Men-Blue-Origins/Full?quality=hq","24","done","2026-03-09T22:43:36.246541","0"
"740","Uncanny Spider-Man","5","Fall of X","","2024","Uncanny-Spider-Man","https://readcomiconline.li/Comic/Uncanny-Spider-Man/Issue-5?quality=hq","25","done","2026-03-10T02:14:33.780637","0"
"741","Immortal X-Men","17","Fall of X","","2023","Immortal-X-Men","https://readcomiconline.li/Comic/Immortal-X-Men/Issue-17?quality=hq","25","done","2026-03-09T22:43:36.605373","0"
"742","Immortal X-Men","18","Fall of X","","2023","Immortal-X-Men","https://readcomiconline.li/Comic/Immortal-X-Men/Issue-18?quality=hq","26","done","2026-03-09T22:43:37.392343","0"
"743","X-Force","44","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-44?quality=hq","26","done","2026-03-09T22:43:39.991439","0"
"744","X-Force","45","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-45?quality=hq","26","done","2026-03-09T22:43:41.158807","0"
"745","X-Force","46","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-46?quality=hq","26","done","2026-03-09T22:43:37.407344","0"
"746","X-Force","47","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-47?quality=hq","26","done","2026-03-09T22:43:37.881576","0"
"747","X-Force","48","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-48?quality=hq","25","done","2026-03-09T22:43:53.352841","0"
"748","X-Force","49","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-49?quality=hq","26","done","2026-03-09T22:43:53.119071","0"
"749","X-Force","50","Fall of X","","2023","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-50?quality=hq","25","done","2026-03-09T22:43:51.972141","0"
"750","Ghost Rider/Wolverine: Weapons of Vengeance Alpha","1","Fall of X","","2023","Ghost-RiderWolverine-Weapons-of-Vengeance-Alpha","https://readcomiconline.li/Comic/Ghost-Rider-Wolverine-Weapons-of-Vengeance-Alpha/Full?quality=hq","26","done","2026-03-09T22:44:09.338966","0"
"751","Ghost Rider/Wolverine: Weapons of Vengeance Omega","1","Fall of X","","2023","Ghost-RiderWolverine-Weapons-of-Vengeance-Omega","https://readcomiconline.li/Comic/Ghost-Rider-Wolverine-Weapons-of-Vengeance-Omega/Issue-1?quality=hq","26","done","2026-03-09T22:44:56.835276","0"
"752","Wolverine","36","Fall of X","","2023","Wolverine-2020","https://readcomiconline.li/Comic/Wolverine-2020/Issue-36?quality=hq","24","done","2026-03-09T22:44:11.174202","0"
"753","Wolverine","37","Fall of X","","2023","Wolverine-2020","https://readcomiconline.li/Comic/Wolverine-2020/Issue-37?quality=hq","26","done","2026-03-09T22:44:55.279228","0"
"754","Wolverine","38","Fall of X","","2023","Wolverine-2020","https://readcomiconline.li/Comic/Wolverine-2020/Issue-38?quality=hq","26","done","2026-03-09T22:44:15.626414","0"
"755","Wolverine","39","Fall of X","","2023","Wolverine-2020","https://readcomiconline.li/Comic/Wolverine-2020/Issue-39?quality=hq","26","done","2026-03-09T22:44:56.928826","0"
